ecozone,ecoprovince,ecoregion,species,eco_cells,spp_cells,pct_range,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,50,blbw,565,564,0,0.0014,0.0022,0.0022,0.0024,0.0024,0.0024,0.0025,2e-4
4,4.2,50,boch,565,564,100,0.0376,0.0454,0.0459,0.0466,0.0468,0.0472,0.0503,0.0018
4,4.2,50,brcr,565,564,0,0.0119,0.0128,0.0128,0.0131,0.0132,0.0132,0.0134,3e-4
4,4.2,50,btnw,565,564,0,0.0024,0.0035,0.0037,0.0037,0.0037,0.0037,0.0044,3e-4
4,4.2,50,cawa,565,564,0,0.0022,0.0024,0.0023,0.0025,0.0027,0.0027,0.0029,1e-4
4,4.2,50,cmwa,565,564,0,0.0045,0.011,0.011,0.0128,0.0136,0.0144,0.065,0.0057
4,4.2,50,osfl,565,564,0,0.0029,0.0047,0.0047,0.0055,0.0056,0.0057,0.0079,7e-4
4,4.2,50,pigr,565,564,100,0.0059,0.0186,0.0104,0.027,0.0456,0.0552,0.1261,0.018
4,4.2,50,rubl,565,564,83,0.0032,0.0226,0.0164,0.0387,0.0536,0.0621,0.0956,0.0195
4,4.2,50,swth,565,564,0,0.0515,0.067,0.0665,0.0734,0.0774,0.0816,0.0932,0.008
4,4.2,50,wwcr,565,564,100,0.0717,0.0948,0.0938,0.1017,0.1057,0.117,0.1961,0.0151
4,4.1,51,blbw,3792,3792,0,0.0016,0.003,0.0025,0.0033,0.0045,0.0064,0.0081,0.0012
4,4.1,51,boch,3792,3792,100,0.0184,0.0491,0.0481,0.0498,0.0532,0.0602,0.0889,0.0058
4,4.1,51,brcr,3792,3792,0,0.0107,0.0143,0.0135,0.0157,0.0185,0.0191,0.021,0.0021
4,4.1,51,btnw,3792,3792,0,0.0027,0.004,0.0037,0.0046,0.0054,0.0057,0.0095,9e-4
4,4.1,51,cawa,3792,3792,0,0.0019,0.0025,0.0024,0.0027,0.0028,0.0029,0.0053,3e-4
4,4.1,51,cmwa,3792,3792,0,0.0029,0.0098,0.0104,0.0118,0.013,0.0137,0.0203,0.0027
4,4.1,51,osfl,3792,3792,57,0.0025,0.0055,0.0055,0.0063,0.0074,0.0085,0.0105,0.0014
4,4.1,51,pigr,3792,3792,100,0.0053,0.0135,0.0137,0.0157,0.0166,0.0174,0.0567,0.0029
4,4.1,51,rubl,3792,3792,100,0.0039,0.0162,0.0177,0.0223,0.0238,0.0258,0.0348,0.0067
4,4.1,51,swth,3792,3792,42,0.0446,0.1633,0.1594,0.2028,0.2251,0.2548,0.3076,0.0499
4,4.1,51,wwcr,3792,3792,100,0.0492,0.0939,0.0926,0.1043,0.1135,0.122,0.1864,0.015
4,4.2,52,blbw,6776,4989,0,0.0014,0.0025,0.0025,0.0026,0.0026,0.0027,0.0036,2e-4
4,4.2,52,boch,6776,4989,72,0.0354,0.045,0.0459,0.0473,0.0478,0.0483,0.0663,0.003
4,4.2,52,brcr,6776,4989,0,0.0121,0.0131,0.013,0.0132,0.0135,0.0154,0.0166,8e-4
4,4.2,52,btnw,6776,4989,0,0.0022,0.0036,0.0037,0.0038,0.0038,0.0038,0.0046,3e-4
